name,company,website,role,linkedin_url
Gloria Fernández Polín,LatticeFlow,https://latticeflow.ai,Director of Marketing,https://www.linkedin.com/in/gloriafdez
Kipp Bodnar,HubSpot,https://www.hubspot.com,Chief Marketing Officer,https://www.linkedin.com/in/kippbodnar/
Rob Giglio,HubSpot,https://www.hubspot.com,Chief Customer Officer,https://www.linkedin.com/in/robgiglio
Prachi Gore,Asana,https://asana.com,Chief Marketing Officer,https://www.linkedin.com/in/prachigore
Kevin Knieriem,Asana,https://asana.com,Chief Revenue Officer,https://www.linkedin.com/in/kevin-knieriem
Sara Varni,Datadog,https://www.datadoghq.com,Chief Marketing Officer,https://www.linkedin.com/in/saravarnibright
Sean Walters,Datadog,https://www.datadoghq.com,Chief Revenue Officer,https://www.linkedin.com/in/sean-walters-6825154
Kimberly Storin,Zoom,https://www.zoom.com,Chief Marketing Officer,https://www.linkedin.com/in/kimberlystorin
Harris Beber,monday.com,https://monday.com,Chief Marketing Officer,https://www.linkedin.com/in/harrisbeber
Jonathan Beaulier,Snowflake,https://www.snowflake.com,Chief Revenue Officer,https://www.linkedin.com/in/jonbeaulier
